taxid	pg	order	mlst	azm_mic	azm_int	azm_cat	cfm_mic	cfm_int	cfm_cat	cip_mic	cip_int	cip_cat	cro_mic	cro_int	cro_cat
GCGS0192	7	929	9363	2	2.0-2.0	R	0.03	0.03-0.03	S	0.015	0.015-0.015	S	0.008	0.008-0.008	S
GCGS0193	4	1065	1580	0.5	0.5-0.5	S	0.25	0.25-0.25	R	0.015	0.015-0.015	S	0.03	0.03-0.03	S
GCGS0194	5	447	1901	0.5	0.5-0.5	S	0.015	0.015-0.015	S	4	4.0-4.0	R	0.03	0.03-0.03	S
GCGS0195	6	263	1901	0.5	0.5-0.5	S	0.25	0.25-0.25	R	16	16.0-16.0	R	0.06	0.06-0.06	S
GCGS0196	5	301	1901	1	1.0-1.0	S	0.03	0.03-0.03	S	16	16.0-16.0	R	0.03	0.03-0.03	S
GCGS0197	4	1053	1580	0.5	0.5-0.5	S	0.25	0.25-0.25	R	0.004	0.004-0.004	S	0.032	0.032-0.032	S
GCGS0198	7	946	9363	16	16.0-16.0	R	0.015	0.015-0.015	S	0.015	0.015-0.015	S	0.008	0.008-0.008	S
GCGS0199	4	1054	1580	0.5	0.5-0.5	S	0.25	0.25-0.25	R	0.004	0.004-0.004	S	0.063	0.063-0.063	S
GCGS0200	8	767	6722	0.125	0.125-0.125	S	0.015	0.015-0.015	S	0.015	0.015-0.015	S	0.015	0.015-0.015	S
GCGS0201	4	1073	1580	0.5	0.5-0.5	S	0.25	0.25-0.25	R	0.004	0.004-0.004	S	0.063	0.063-0.063	S
GCGS0202	7	940	9363	8	8.0-8.0	R	0.03	0.03-0.03	S	0.015	0.015-0.015	S	0.008	0.008-0.008	S
